# src	dest	pir	por	t_on	t_off	t_period
0	1	0.0500	0.0	0	500	4000
0	2	0.0500	0.0	0	500	4000
0	3	0.0500	0.0	0	500	4000
0	4	0.0500	0.0	0	500	4000
0	5	0.0500	0.0	0	500	4000
0	6	0.0500	0.0	0	500	4000
0	7	0.0500	0.0	0	500	4000
0	8	0.0500	0.0	0	500	4000
0	9	0.0500	0.0	0	500	4000
0	10	0.0500	0.0	0	500	4000
0	11	0.0500	0.0	0	500	4000
0	12	0.0500	0.0	0	500	4000
0	13	0.0500	0.0	0	500	4000
0	14	0.0500	0.0	0	500	4000
0	15	0.0500	0.0	0	500	4000
0	16	0.0500	0.0	0	500	4000
0	17	0.0500	0.0	0	500	4000
0	18	0.0500	0.0	0	500	4000
0	19	0.0500	0.0	0	500	4000
0	20	0.0500	0.0	0	500	4000
0	21	0.0500	0.0	0	500	4000
0	22	0.0500	0.0	0	500	4000
0	23	0.0500	0.0	0	500	4000
0	24	0.0500	0.0	0	500	4000
0	25	0.0500	0.0	0	500	4000
0	26	0.0500	0.0	0	500	4000
0	29	0.0500	0.0	0	500	4000
0	30	0.0500	0.0	0	500	4000
0	31	0.0500	0.0	0	500	4000
0	32	0.0500	0.0	0	500	4000
0	33	0.0500	0.0	0	500	4000
0	34	0.0500	0.0	0	500	4000
0	37	0.0500	0.0	0	500	4000
0	38	0.0500	0.0	0	500	4000
0	39	0.0500	0.0	0	500	4000
0	40	0.0500	0.0	0	500	4000
0	41	0.0500	0.0	0	500	4000
0	42	0.0500	0.0	0	500	4000
0	43	0.0500	0.0	0	500	4000
0	44	0.0500	0.0	0	500	4000
0	45	0.0500	0.0	0	500	4000
0	46	0.0500	0.0	0	500	4000
0	47	0.0500	0.0	0	500	4000
0	48	0.0500	0.0	0	500	4000
0	49	0.0500	0.0	0	500	4000
0	50	0.0500	0.0	0	500	4000
0	51	0.0500	0.0	0	500	4000
0	52	0.0500	0.0	0	500	4000
0	53	0.0500	0.0	0	500	4000
0	54	0.0500	0.0	0	500	4000
0	55	0.0500	0.0	0	500	4000
0	56	0.0500	0.0	0	500	4000
0	57	0.0500	0.0	0	500	4000
0	58	0.0500	0.0	0	500	4000
0	59	0.0500	0.0	0	500	4000
0	60	0.0500	0.0	0	500	4000
0	61	0.0500	0.0	0	500	4000
0	62	0.0500	0.0	0	500	4000
0	63	0.0500	0.0	0	500	4000
1	28	0.0800	0.0	600	1800	4000
2	35	0.0800	0.0	600	1800	4000
3	36	0.0800	0.0	600	1800	4000
4	27	0.0800	0.0	600	1800	4000
5	28	0.0800	0.0	600	1800	4000
6	35	0.0800	0.0	600	1800	4000
7	36	0.0800	0.0	600	1800	4000
8	27	0.0800	0.0	600	1800	4000
9	28	0.0800	0.0	600	1800	4000
10	35	0.0800	0.0	600	1800	4000
11	36	0.0800	0.0	600	1800	4000
12	27	0.0800	0.0	600	1800	4000
13	28	0.0800	0.0	600	1800	4000
14	35	0.0800	0.0	600	1800	4000
15	36	0.0800	0.0	600	1800	4000
16	27	0.0800	0.0	600	1800	4000
