# src dest pir por t_on t_off t_period
0 7 0.1 1.0 0 1000000 1000001
0 56 0.1 1.0 0 1000000 1000001
0 63 0.1 1.0 0 1000000 1000001
7 0 0.1 1.0 0 1000000 1000001
7 56 0.1 1.0 0 1000000 1000001
7 63 0.1 1.0 0 1000000 1000001
56 0 0.1 1.0 0 1000000 1000001
56 7 0.1 1.0 0 1000000 1000001
56 63 0.1 1.0 0 1000000 1000001
63 0 0.1 1.0 0 1000000 1000001
63 7 0.1 1.0 0 1000000 1000001
63 56 0.1 1.0 0 1000000 1000001
1 2 0.005 1.0 0 1000000 1000001
2 3 0.005 1.0 0 1000000 1000001
3 4 0.005 1.0 0 1000000 1000001
4 5 0.005 1.0 0 1000000 1000001
5 6 0.005 1.0 0 1000000 1000001
6 7 0.005 1.0 0 1000000 1000001
8 9 0.005 1.0 0 1000000 1000001
9 10 0.005 1.0 0 1000000 1000001
10 11 0.005 1.0 0 1000000 1000001
11 12 0.005 1.0 0 1000000 1000001
12 13 0.005 1.0 0 1000000 1000001
13 14 0.005 1.0 0 1000000 1000001
14 15 0.005 1.0 0 1000000 1000001
15 16 0.005 1.0 0 1000000 1000001
16 17 0.005 1.0 0 1000000 1000001
17 18 0.005 1.0 0 1000000 1000001
18 19 0.005 1.0 0 1000000 1000001
19 20 0.005 1.0 0 1000000 1000001
20 21 0.005 1.0 0 1000000 1000001
21 22 0.005 1.0 0 1000000 1000001
22 23 0.005 1.0 0 1000000 1000001
23 24 0.005 1.0 0 1000000 1000001
24 25 0.005 1.0 0 1000000 1000001
25 26 0.005 1.0 0 1000000 1000001
26 27 0.005 1.0 0 1000000 1000001
27 28 0.005 1.0 0 1000000 1000001
28 29 0.005 1.0 0 1000000 1000001
29 30 0.005 1.0 0 1000000 1000001
30 31 0.005 1.0 0 1000000 1000001
31 32 0.005 1.0 0 1000000 1000001
32 33 0.005 1.0 0 1000000 1000001
33 34 0.005 1.0 0 1000000 1000001
34 35 0.005 1.0 0 1000000 1000001
35 36 0.005 1.0 0 1000000 1000001
36 37 0.005 1.0 0 1000000 1000001
37 38 0.005 1.0 0 1000000 1000001
38 39 0.005 1.0 0 1000000 1000001
39 40 0.005 1.0 0 1000000 1000001
40 41 0.005 1.0 0 1000000 1000001
41 42 0.005 1.0 0 1000000 1000001
42 43 0.005 1.0 0 1000000 1000001
43 44 0.005 1.0 0 1000000 1000001
44 45 0.005 1.0 0 1000000 1000001
45 46 0.005 1.0 0 1000000 1000001
46 47 0.005 1.0 0 1000000 1000001
47 48 0.005 1.0 0 1000000 1000001
48 49 0.005 1.0 0 1000000 1000001
49 50 0.005 1.0 0 1000000 1000001
50 51 0.005 1.0 0 1000000 1000001
51 52 0.005 1.0 0 1000000 1000001
52 53 0.005 1.0 0 1000000 1000001
53 54 0.005 1.0 0 1000000 1000001
54 55 0.005 1.0 0 1000000 1000001
55 56 0.005 1.0 0 1000000 1000001
57 58 0.005 1.0 0 1000000 1000001
58 59 0.005 1.0 0 1000000 1000001
59 60 0.005 1.0 0 1000000 1000001
60 61 0.005 1.0 0 1000000 1000001
61 62 0.005 1.0 0 1000000 1000001
62 63 0.005 1.0 0 1000000 1000001
