# src	dest	pir	por	t_on	t_off	t_duration
0	7	0.15	0.15	0	25000	100001
1	4	0.15	0.15	0	25000	100001
2	21	0.15	0.15	0	25000	100001
3	13	0.15	0.15	0	25000	100001
4	44	0.001	0.001	0	25000	100001
5	15	0.001	0.001	0	25000	100001
6	62	0.001	0.001	0	25000	100001
7	36	0.001	0.001	0	25000	100001
8	47	0.15	0.15	0	25000	100001
9	63	0.15	0.15	0	25000	100001
10	2	0.15	0.15	0	25000	100001
11	37	0.15	0.15	0	25000	100001
12	5	0.001	0.001	0	25000	100001
13	61	0.001	0.001	0	25000	100001
14	44	0.001	0.001	0	25000	100001
15	20	0.001	0.001	0	25000	100001
16	5	0.15	0.15	0	25000	100001
17	24	0.15	0.15	0	25000	100001
18	56	0.15	0.15	0	25000	100001
19	45	0.15	0.15	0	25000	100001
20	33	0.001	0.001	0	25000	100001
21	20	0.001	0.001	0	25000	100001
22	16	0.001	0.001	0	25000	100001
23	39	0.001	0.001	0	25000	100001
24	54	0.15	0.15	0	25000	100001
25	34	0.15	0.15	0	25000	100001
26	19	0.15	0.15	0	25000	100001
27	24	0.15	0.15	0	25000	100001
28	32	0.001	0.001	0	25000	100001
29	31	0.001	0.001	0	25000	100001
30	19	0.001	0.001	0	25000	100001
31	18	0.001	0.001	0	25000	100001
32	37	0.001	0.001	0	25000	100001
33	54	0.001	0.001	0	25000	100001
34	22	0.001	0.001	0	25000	100001
35	23	0.001	0.001	0	25000	100001
36	10	0.001	0.001	0	25000	100001
37	40	0.001	0.001	0	25000	100001
38	13	0.001	0.001	0	25000	100001
39	33	0.001	0.001	0	25000	100001
40	51	0.001	0.001	0	25000	100001
41	23	0.001	0.001	0	25000	100001
42	16	0.001	0.001	0	25000	100001
43	10	0.001	0.001	0	25000	100001
44	41	0.001	0.001	0	25000	100001
45	25	0.001	0.001	0	25000	100001
46	2	0.001	0.001	0	25000	100001
47	42	0.001	0.001	0	25000	100001
48	36	0.001	0.001	0	25000	100001
49	37	0.001	0.001	0	25000	100001
50	12	0.001	0.001	0	25000	100001
51	49	0.001	0.001	0	25000	100001
52	50	0.001	0.001	0	25000	100001
53	32	0.001	0.001	0	25000	100001
54	53	0.001	0.001	0	25000	100001
55	41	0.001	0.001	0	25000	100001
56	52	0.001	0.001	0	25000	100001
57	40	0.001	0.001	0	25000	100001
58	15	0.001	0.001	0	25000	100001
59	52	0.001	0.001	0	25000	100001
60	59	0.001	0.001	0	25000	100001
61	4	0.001	0.001	0	25000	100001
62	7	0.001	0.001	0	25000	100001
63	53	0.001	0.001	0	25000	100001
0	41	0.001	0.001	25000	50000	100001
1	14	0.001	0.001	25000	50000	100001
2	33	0.001	0.001	25000	50000	100001
3	45	0.001	0.001	25000	50000	100001
4	7	0.15	0.15	25000	50000	100001
5	3	0.15	0.15	25000	50000	100001
6	27	0.15	0.15	25000	50000	100001
7	58	0.15	0.15	25000	50000	100001
8	43	0.001	0.001	25000	50000	100001
9	51	0.001	0.001	25000	50000	100001
10	57	0.001	0.001	25000	50000	100001
11	46	0.001	0.001	25000	50000	100001
12	6	0.15	0.15	25000	50000	100001
13	23	0.15	0.15	25000	50000	100001
14	57	0.15	0.15	25000	50000	100001
15	33	0.15	0.15	25000	50000	100001
16	45	0.001	0.001	25000	50000	100001
17	53	0.001	0.001	25000	50000	100001
18	56	0.001	0.001	25000	50000	100001
19	43	0.001	0.001	25000	50000	100001
20	51	0.15	0.15	25000	50000	100001
21	5	0.15	0.15	25000	50000	100001
22	14	0.15	0.15	25000	50000	100001
23	47	0.15	0.15	25000	50000	100001
24	15	0.001	0.001	25000	50000	100001
25	55	0.001	0.001	25000	50000	100001
26	14	0.001	0.001	25000	50000	100001
27	5	0.001	0.001	25000	50000	100001
28	45	0.15	0.15	25000	50000	100001
29	52	0.15	0.15	25000	50000	100001
30	17	0.15	0.15	25000	50000	100001
31	36	0.15	0.15	25000	50000	100001
32	29	0.001	0.001	25000	50000	100001
33	11	0.001	0.001	25000	50000	100001
34	53	0.001	0.001	25000	50000	100001
35	23	0.001	0.001	25000	50000	100001
36	1	0.001	0.001	25000	50000	100001
37	32	0.001	0.001	25000	50000	100001
38	13	0.001	0.001	25000	50000	100001
39	60	0.001	0.001	25000	50000	100001
40	52	0.001	0.001	25000	50000	100001
41	35	0.001	0.001	25000	50000	100001
42	21	0.001	0.001	25000	50000	100001
43	9	0.001	0.001	25000	50000	100001
44	30	0.001	0.001	25000	50000	100001
45	32	0.001	0.001	25000	50000	100001
46	28	0.001	0.001	25000	50000	100001
47	61	0.001	0.001	25000	50000	100001
48	55	0.001	0.001	25000	50000	100001
49	45	0.001	0.001	25000	50000	100001
50	12	0.001	0.001	25000	50000	100001
51	40	0.001	0.001	25000	50000	100001
52	63	0.001	0.001	25000	50000	100001
53	24	0.001	0.001	25000	50000	100001
54	7	0.001	0.001	25000	50000	100001
55	18	0.001	0.001	25000	50000	100001
56	51	0.001	0.001	25000	50000	100001
57	43	0.001	0.001	25000	50000	100001
58	22	0.001	0.001	25000	50000	100001
59	58	0.001	0.001	25000	50000	100001
60	39	0.001	0.001	25000	50000	100001
61	39	0.001	0.001	25000	50000	100001
62	13	0.001	0.001	25000	50000	100001
63	52	0.001	0.001	25000	50000	100001
0	60	0.001	0.001	50000	75000	100001
1	18	0.001	0.001	50000	75000	100001
2	6	0.001	0.001	50000	75000	100001
3	12	0.001	0.001	50000	75000	100001
4	55	0.001	0.001	50000	75000	100001
5	31	0.001	0.001	50000	75000	100001
6	25	0.001	0.001	50000	75000	100001
7	37	0.001	0.001	50000	75000	100001
8	48	0.001	0.001	50000	75000	100001
9	56	0.001	0.001	50000	75000	100001
10	15	0.001	0.001	50000	75000	100001
11	32	0.001	0.001	50000	75000	100001
12	26	0.001	0.001	50000	75000	100001
13	0	0.001	0.001	50000	75000	100001
14	26	0.001	0.001	50000	75000	100001
15	21	0.001	0.001	50000	75000	100001
16	11	0.001	0.001	50000	75000	100001
17	8	0.001	0.001	50000	75000	100001
18	45	0.001	0.001	50000	75000	100001
19	18	0.001	0.001	50000	75000	100001
20	22	0.001	0.001	50000	75000	100001
21	22	0.001	0.001	50000	75000	100001
22	16	0.001	0.001	50000	75000	100001
23	36	0.001	0.001	50000	75000	100001
24	60	0.001	0.001	50000	75000	100001
25	39	0.001	0.001	50000	75000	100001
26	61	0.001	0.001	50000	75000	100001
27	12	0.001	0.001	50000	75000	100001
28	6	0.001	0.001	50000	75000	100001
29	7	0.001	0.001	50000	75000	100001
30	46	0.001	0.001	50000	75000	100001
31	53	0.001	0.001	50000	75000	100001
32	18	0.15	0.15	50000	75000	100001
33	52	0.15	0.15	50000	75000	100001
34	39	0.15	0.15	50000	75000	100001
35	18	0.15	0.15	50000	75000	100001
36	61	0.001	0.001	50000	75000	100001
37	33	0.001	0.001	50000	75000	100001
38	42	0.001	0.001	50000	75000	100001
39	23	0.001	0.001	50000	75000	100001
40	60	0.15	0.15	50000	75000	100001
41	42	0.15	0.15	50000	75000	100001
42	51	0.15	0.15	50000	75000	100001
43	31	0.15	0.15	50000	75000	100001
44	18	0.001	0.001	50000	75000	100001
45	19	0.001	0.001	50000	75000	100001
46	29	0.001	0.001	50000	75000	100001
47	1	0.001	0.001	50000	75000	100001
48	36	0.15	0.15	50000	75000	100001
49	39	0.15	0.15	50000	75000	100001
50	43	0.15	0.15	50000	75000	100001
51	20	0.15	0.15	50000	75000	100001
52	2	0.001	0.001	50000	75000	100001
53	18	0.001	0.001	50000	75000	100001
54	5	0.001	0.001	50000	75000	100001
55	25	0.001	0.001	50000	75000	100001
56	17	0.15	0.15	50000	75000	100001
57	39	0.15	0.15	50000	75000	100001
58	8	0.15	0.15	50000	75000	100001
59	60	0.15	0.15	50000	75000	100001
60	59	0.001	0.001	50000	75000	100001
61	42	0.001	0.001	50000	75000	100001
62	6	0.001	0.001	50000	75000	100001
63	12	0.001	0.001	50000	75000	100001
0	61	0.001	0.001	75000	100000	100001
1	58	0.001	0.001	75000	100000	100001
2	25	0.001	0.001	75000	100000	100001
3	9	0.001	0.001	75000	100000	100001
4	12	0.001	0.001	75000	100000	100001
