# Source Dest PIR POR T_on T_off T_period
27 35 0.05 0.05 739 2115 2752
27 54 0.05 0.05 78 2447 4739
27 36 0.05 0.05 508 2084 3153
27 35 0.05 0.05 199 2153 3909
27 49 0.05 0.05 8 1794 3573
27 58 0.05 0.05 1276 3245 3938
27 20 0.05 0.05 665 1812 2295
27 21 0.05 0.05 865 2215 2701
36 53 0.012 0.012 689 1963 4248
37 62 0.012 0.012 1757 2892 3786
38 54 0.012 0.012 1265 2071 2689
39 45 0.012 0.012 484 1209 2418
44 53 0.012 0.012 1269 2195 3087
45 38 0.012 0.012 2341 3414 3577
46 45 0.012 0.012 1200 2078 2927
47 37 0.012 0.012 2765 4190 4753
52 61 0.012 0.012 628 2021 4646
53 63 0.012 0.012 816 2032 4055
54 36 0.012 0.012 300 977 2257
55 37 0.012 0.012 785 1515 2434
60 55 0.012 0.012 1078 1693 2051
61 44 0.012 0.012 938 2338 4669
62 36 0.012 0.012 1390 2131 2470
63 62 0.012 0.012 463 1178 2386
0 1 0.0008 0.0008 0 19999 20000
1 61 0.0008 0.0008 0 19999 20000
2 22 0.0008 0.0008 0 19999 20000
3 47 0.0008 0.0008 0 19999 20000
4 23 0.0008 0.0008 0 19999 20000
5 1 0.0008 0.0008 0 19999 20000
6 45 0.0008 0.0008 0 19999 20000
7 6 0.0008 0.0008 0 19999 20000
8 57 0.0008 0.0008 0 19999 20000
9 41 0.0008 0.0008 0 19999 20000
10 60 0.0008 0.0008 0 19999 20000
11 8 0.0008 0.0008 0 19999 20000
12 46 0.0008 0.0008 0 19999 20000
13 60 0.0008 0.0008 0 19999 20000
14 56 0.0008 0.0008 0 19999 20000
15 4 0.0008 0.0008 0 19999 20000
16 17 0.0008 0.0008 0 19999 20000
17 51 0.0008 0.0008 0 19999 20000
18 34 0.0008 0.0008 0 19999 20000
19 12 0.0008 0.0008 0 19999 20000
20 10 0.0008 0.0008 0 19999 20000
21 41 0.0008 0.0008 0 19999 20000
22 43 0.0008 0.0008 0 19999 20000
23 62 0.0008 0.0008 0 19999 20000
24 10 0.0008 0.0008 0 19999 20000
25 53 0.0008 0.0008 0 19999 20000
26 63 0.0008 0.0008 0 19999 20000
27 57 0.0008 0.0008 0 19999 20000
28 46 0.0008 0.0008 0 19999 20000
29 32 0.0008 0.0008 0 19999 20000
30 62 0.0008 0.0008 0 19999 20000
31 51 0.0008 0.0008 0 19999 20000
32 36 0.0008 0.0008 0 19999 20000
33 56 0.0008 0.0008 0 19999 20000
34 51 0.0008 0.0008 0 19999 20000
35 45 0.0008 0.0008 0 19999 20000
36 60 0.0008 0.0008 0 19999 20000
37 17 0.0008 0.0008 0 19999 20000
38 60 0.0008 0.0008 0 19999 20000
39 13 0.0008 0.0008 0 19999 20000
40 1 0.0008 0.0008 0 19999 20000
41 27 0.0008 0.0008 0 19999 20000
42 41 0.0008 0.0008 0 19999 20000
43 31 0.0008 0.0008 0 19999 20000
44 34 0.0008 0.0008 0 19999 20000
45 36 0.0008 0.0008 0 19999 20000
46 45 0.0008 0.0008 0 19999 20000
47 44 0.0008 0.0008 0 19999 20000
48 15 0.0008 0.0008 0 19999 20000
49 59 0.0008 0.0008 0 19999 20000
50 54 0.0008 0.0008 0 19999 20000
51 4 0.0008 0.0008 0 19999 20000
52 58 0.0008 0.0008 0 19999 20000
53 51 0.0008 0.0008 0 19999 20000
54 62 0.0008 0.0008 0 19999 20000
55 54 0.0008 0.0008 0 19999 20000
56 51 0.0008 0.0008 0 19999 20000
57 12 0.0008 0.0008 0 19999 20000
58 59 0.0008 0.0008 0 19999 20000
59 30 0.0008 0.0008 0 19999 20000
60 4 0.0008 0.0008 0 19999 20000
61 26 0.0008 0.0008 0 19999 20000
62 38 0.0008 0.0008 0 19999 20000
63 48 0.0008 0.0008 0 19999 20000
