# Source Dest PIR POR T_on T_off T_period
27 9 0.06 0.06 1238 2643 2810
27 31 0.06 0.06 1294 2785 2983
27 8 0.06 0.06 426 1608 2365
27 57 0.06 0.06 459 2816 4715
27 50 0.06 0.06 1796 3998 4404
27 2 0.06 0.06 832 2868 4073
27 25 0.06 0.06 1486 3342 3712
27 4 0.06 0.06 1946 4199 4506
36 39 0.012 0.012 56 1025 3230
37 61 0.012 0.012 2182 3375 3977
38 54 0.012 0.012 1248 1931 2279
39 62 0.012 0.012 625 1942 4391
44 54 0.012 0.012 2350 3468 3729
45 52 0.012 0.012 913 1710 2659
46 37 0.012 0.012 1440 2117 2257
47 45 0.012 0.012 826 2145 4398
52 62 0.012 0.012 2047 2995 3161
53 55 0.012 0.012 119 1547 4762
54 45 0.012 0.012 1093 2151 3527
55 60 0.012 0.012 1327 1963 2123
60 61 0.012 0.012 2003 3059 3521
61 45 0.012 0.012 1587 2392 2684
62 54 0.012 0.012 1842 3160 4396
63 47 0.012 0.012 2275 3445 3901
41 44 0.001 0.001 0 19999 20000
10 12 0.001 0.001 0 19999 20000
22 18 0.001 0.001 0 19999 20000
26 8 0.001 0.001 0 19999 20000
1 30 0.001 0.001 0 19999 20000
51 61 0.001 0.001 0 19999 20000
50 62 0.001 0.001 0 19999 20000
9 11 0.001 0.001 0 19999 20000
33 63 0.001 0.001 0 19999 20000
21 7 0.001 0.001 0 19999 20000
11 6 0.001 0.001 0 19999 20000
41 3 0.001 0.001 0 19999 20000
